Time: 0.00s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 1.01s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 2.01s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 3.02s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 4.02s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 5.02s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 6.02s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 7.03s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 8.03s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 9.03s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 10.03s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 11.04s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 12.04s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 13.04s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 14.05s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 15.06s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 16.07s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 17.07s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 18.07s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 19.08s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 20.08s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 21.08s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 22.08s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 23.09s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 24.09s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 25.09s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 26.09s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 27.10s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 28.10s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 29.11s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 30.12s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 31.16s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 32.16s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 33.16s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 34.16s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 35.17s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 36.18s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 37.18s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 38.19s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 39.19s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 40.22s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 41.22s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 42.23s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 43.23s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 44.23s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 45.24s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 46.25s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 47.26s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 48.26s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 49.26s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 50.26s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 51.29s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 52.29s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 53.29s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 54.30s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 55.30s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 56.31s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 57.31s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 58.31s, CPU: 0.0%, Memory: 0.03333234511476823%
Time: 59.32s, CPU: 0.0%, Memory: 0.03333234511476823%
